Channel,Area
CH1,rVL
CH2,rVL
CH3,rSTR
CH4,rSTR
CH5,rSTR
CH6,rM1
CH7,rM1
CH8,rM1
CH9,rM1
CH10,rM1
CH11,rM1
CH12,rSTR
CH13,rSTR
CH14,rSTR
CH15,rSTR
CH16,rVL
CH17,rVPL
CH18,rVPL
CH19,rS1
CH20,rS1
CH21,rSTN
CH22,rSTN
CH23,rPf
CH24,rPf
CH25,rPf
CH26,rPf
CH27,rSTN
CH28,rS1
CH29,rS1
CH30,rS1
CH31,rVPL
CH32,rVPL
CH33,lVL
CH34,lVL
CH35,lSTR
CH36,lSTR
CH37,lSTR
CH38,lM1
CH39,lM1
CH40,lM1
CH41,lM1
CH42,lM1
CH43,lM1
CH44,lSTR
CH45,lSTR
CH46,lSTR
CH47,lSTR
CH48,lVL
CH49,lVPL
CH50,lVPL
CH51,lS1
CH52,lS1
CH53,lSTN
CH54,lSTN
CH55,lPf
CH56,lPf
CH57,lPf
CH58,lPf
CH59,lSTN
CH60,lS1
CH61,lS1
CH62,lS1
CH63,lVPL
CH64,lVPL
