Channel,Area
CH1,VLL
CH2,VLL
CH3,STRL
CH4,STRL
CH5,STRL
CH6,M1L
CH7,M1L
CH8,M1L
CH9,M1L
CH10,M1L
CH11,M1L
CH12,STRL
CH13,STRL
CH14,STRL
CH15,STRL
CH16,VLL
CH17,VPLL
CH18,VPLL
CH19,S1L
CH20,S1L
CH21,STNL
CH22,STNL
CH23,PfL
CH24,PfL
CH25,PfL
CH26,PfL
CH27,STNL
CH28,S1L
CH29,S1L
CH30,S1L
CH31,VPLL
CH32,VPLL
CH33,VLR
CH34,VLR
CH35,STRR
CH36,STRR
CH37,STRR
CH38,M1R
CH39,M1R
CH40,M1R
CH41,M1R
CH42,M1R
CH43,M1R
CH44,STRR
CH45,STRR
CH46,STRR
CH47,STRR
CH48,VLR
CH49,VPLR
CH50,VPLR
CH51,S1R
CH52,S1R
CH53,STNR
CH54,STNR
CH55,PfR
CH56,PfR
CH57,PfR
CH58,PfR
CH59,STNR
CH60,S1R
CH61,S1R
CH62,S1R
CH63,VPLR
CH64,VPLR
