Channel,Area
CH1,rSTR
CH2,rSTR
CH3,rSTR
CH4,rSTR
CH5,rCFA
CH6,rCFA
CH7,rCFA
CH8,rCFA
CH9,rCFA
CH10,rCFA
CH11,rCFA
CH12,rCFA
CH13,rCFA
CH14,rSTR
CH15,rSTR
CH16,rSTR
CH17,rVL
CH18,rVL
CH19,rVPL
CH20,rVPL
CH21,rS1
CH22,rS1
CH23,rPf
CH24,rPf
CH25,rPf
CH26,rPf
CH27,rS1
CH28,rS1
CH29,rS1
CH30,rVPL
CH31,rVPL
CH32,rVL
CH33,lVL
CH34,lVPL
CH35,lVPL
CH36,lS1
CH37,lS1
CH38,lS1
CH39,lPf
CH40,lPf
CH41,lPf
CH42,lPf
CH43,lS1
CH44,lS1
CH45,lVPL
CH46,lVPL
CH47,lVL
CH48,lVL
CH49,lSTR
CH50,lSTR
CH51,lSTR
CH52,lCFA
CH53,lCFA
CH54,lCFA
CH55,lCFA
CH56,lCFA
CH57,lCFA
CH58,lCFA
CH59,lCFA
CH60,lCFA
CH61,lSTR
CH62,lSTR
CH63,lSTR
CH64,lSTR
