Channel,Area
CH1,M1l
CH2,M1l
CH3,M1l
CH4,M1l
CH5,M1l
CH6,M1l
CH7,M1l
CH8,M1l
CH9,S1l
CH10,S1l
CH11,S1l
CH12,S1l
CH13,S1l
CH14,S1l
CH15,S1l
CH16,S1l
CH17,DLSl
CH18,DLSl
CH19,DLSl
CH20,DLSl
CH21,DLSl
CH22,DLSl
CH23,DLSl
CH24,DLSl
CH25,VPLl
CH26,VPLl
CH27,VPLl
CH28,VPLl
CH29,VPLl
CH30,VPLl
CH31,VPLl
CH32,VPLl
CH33,M1r
CH34,M1r
CH35,M1r
CH36,M1r
CH37,M1r
CH38,M1r
CH39,M1r
CH40,M1r
CH41,S1r
CH42,S1r
CH43,S1r
CH44,S1r
CH45,S1r
CH46,S1r
CH47,S1r
CH48,S1r
CH49,DLSr
CH50,DLSr
CH51,DLSr
CH52,DLSr
CH53,DLSr
CH54,DLSr
CH55,DLSr
CH56,DLSr
CH57,VPLr
CH58,VPLr
CH59,VPLr
CH60,VPLr
CH61,VPLr
CH62,VPLr
CH63,VPLr
CH64,VPLr
