Channel,Area
CH1,DLSR
CH2,S1R
CH3,S1R
CH4,S1R
CH5,S1R
CH6,SMAAR
CH7,SMAAR
CH8,SMAAR
CH9,SMAAR
CH10,SMAPR
CH11,SMAPR
CH12,SMAPR
CH13,SMAPR
CH14,M1R
CH15,M1R
CH16,M1R
CH17,M1R
CH18,M1R
CH19,M1R
CH20,M1R
CH21,M1R
CH22,VPLR
CH23,VPLR
CH24,VPLR
CH25,VPLR
CH26,DLSR
CH27,DLSR
CH28,DLSR
CH29,DLSR
CH30,DLSR
CH31,DLSR
CH32,DLSR
CH33,DLSL
CH34,S1L
CH35,S1L
CH36,S1L
CH37,S1L
CH38,SMAAL
CH39,SMAAL
CH40,SMAAL
CH41,SMAAL
CH42,SMAPL
CH43,SMAPL
CH44,SMAPL
CH45,SMAPL
CH46,M1L
CH47,M1L
CH48,M1L
CH49,M1L
CH50,M1L
CH51,M1L
CH52,M1L
CH53,M1L
CH54,VPLL
CH55,VPLL
CH56,VPLL
CH57,VPLL
CH58,DLSL
CH59,DLSL
CH60,DLSL
CH61,DLSL
CH62,DLSL
CH63,DLSL
CH64,DLSL
