Channel,Area
CH1,DLSL
CH2,S1L
CH3,S1L
CH4,S1L
CH5,S1L
CH6,SMAL
CH7,SMAL
CH8,SMAL
CH9,SMAL
CH10,SMAL
CH11,SMAL
CH12,SMAL
CH13,SMAL
CH14,M1L
CH15,M1L
CH16,M1L
CH17,M1L
CH18,M1L
CH19,M1L
CH20,M1L
CH21,M1L
CH22,VPLL
CH23,VPLL
CH24,VPLL
CH25,VPLL
CH26,DLSL
CH27,DLSL
CH28,DLSL
CH29,DLSL
CH30,DLSL
CH31,DLSL
CH32,DLSL
CH33,DLSR
CH34,S1R
CH35,S1R
CH36,S1R
CH37,S1R
CH38,SMAR
CH39,SMAR
CH40,SMAR
CH41,SMAR
CH42,SMAR
CH43,SMAR
CH44,SMAR
CH45,SMAR
CH46,M1R
CH47,M1R
CH48,M1R
CH49,M1R
CH50,M1R
CH51,M1R
CH52,M1R
CH53,M1R
CH54,VPLR
CH55,VPLR
CH56,VPLR
CH57,VPLR
CH58,DLSR
CH59,DLSR
CH60,DLSR
CH61,DLSR
CH62,DLSR
CH63,DLSR
CH64,DLSR
