Channel,Area
CH1,lDLS
CH2,lS1
CH3,lS1
CH4,lS1
CH5,lS1
CH6,lSMA
CH7,lSMA
CH8,lSMA
CH9,lSMA
CH10,lSMA
CH11,lSMA
CH12,lSMA
CH13,lSMA
CH14,lM1
CH15,lM1
CH16,lM1
CH17,lM1
CH18,lM1
CH19,lM1
CH20,lM1
CH21,lM1
CH22,lVPL
CH23,lVPL
CH24,lVPL
CH25,lVPL
CH26,lDLS
CH27,lDLS
CH28,lDLS
CH29,lDLS
CH30,lDLS
CH31,lDLS
CH32,lDLS
CH33,rDLS
CH34,rS1
CH35,rS1
CH36,rS1
CH37,rS1
CH38,rSMA
CH39,rSMA
CH40,rSMA
CH41,rSMA
CH42,rSMA
CH43,rSMA
CH44,rSMA
CH45,rSMA
CH46,rM1
CH47,rM1
CH48,rM1
CH49,rM1
CH50,rM1
CH51,rM1
CH52,rM1
CH53,rM1
CH54,rVPL
CH55,rVPL
CH56,rVPL
CH57,rVPL
CH58,rDLS
CH59,rDLS
CH60,rDLS
CH61,rDLS
CH62,rDLS
CH63,rDLS
CH64,rDLS
